year,"last_name, first_name",player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
2025,"Webb, Logan",657277,R,CH,761,86.5,1501,11.7,0.642891239,0.766789265,269.5334239,310.5518004,Changeup,77,540,465,-41.01837645,41.01837645,75,9,0,7,45,1,15,9:00,7:45,+1H 15M
2025,"Boyd, Matthew",571510,L,CH,648,78.7,1818,17,0.828712598,0.903969477,120.597874,103.4393903,Changeup,90,120,150,17.15848369,17.15848369,-30,2,0,2,30,0,30,2:00,2:30,-0H 30M
2025,"Luzardo, Jesús",666200,L,CH,518,87.9,1930,18.3,0.901701111,0.995319697,113.535867,108.8105348,Changeup,100,135,135,4.725332233,4.725332233,0,2,15,2,15,0,0,2:15,2:15, 0H 00M
2025,"Lodolo, Nick",666157,L,CH,537,87.9,1834,18,0.918894433,0.959651162,104.1235745,91.13836202,Changeup,96,150,180,12.98521249,12.98521249,-30,2,30,3,0,0,30,2:30,3:00,-0H 30M
2025,"Cannon, Jonathan",686563,R,CH,345,85.6,1843,16.4,0.81255537,0.750812486,238.873851,270.3065471,Changeup,75,600,540,-31.43269606,31.43269606,60,10,0,9,0,1,0,10:00,9:00,+1H 00M
2025,"Cabrera, Edward",665795,R,CH,571,94.3,1749,18.7,0.998294667,0.928698242,234.9982061,259.8963397,Changeup,93,615,555,-24.89813355,24.89813355,60,10,15,9,15,1,0,10:15,9:15,+1H 00M
2025,"Chivilli, Angel",683409,R,CH,374,88.7,1848,13.8,0.763590323,0.931936831,249.8207601,244.5662627,Changeup,93,585,585,5.254497403,5.254497403,0,9,45,9,45,0,0,9:45,9:45, 0H 00M
2025,"Kelly, Merrill",518876,R,CH,732,88.3,2159,16,0.770468893,0.799190766,241.6868446,275.3301166,Changeup,80,600,525,-33.64327197,33.64327197,75,10,0,8,45,1,15,10:00,8:45,+1H 15M
2025,"Berríos, José",621244,R,CH,433,85.2,1555,15.6,0.841913824,0.983759411,251.9267614,259.8223229,Changeup,98,570,555,-7.895561526,7.895561526,15,9,30,9,15,0,15,9:30,9:15,+0H 15M
2025,"Heaney, Andrew",571760,L,CH,360,82,2107,18.2,0.844114694,0.996106504,108.0127868,99.94674349,Changeup,100,150,165,8.066043328,8.066043328,-15,2,30,2,45,0,15,2:30,2:45,-0H 15M
2025,"Valdez, Framber",664285,L,CH,419,89.8,1711,15.6,0.824021771,0.775583913,126.7263876,89.55115204,Changeup,78,105,180,37.17523552,37.17523552,-75,1,45,3,0,1,15,1:45,3:00,-1H 15M
2025,"Leiter, Jack",683004,R,CH,357,90.7,1522,15.3,0.871449375,0.795737291,226.548011,261.5289574,Changeup,80,630,555,-34.98094641,34.98094641,75,10,30,9,15,1,15,10:30,9:15,+1H 15M
2025,"Castillo, Luis",622491,R,CH,328,87.2,1970,18.7,0.895460739,0.918779696,259.1789411,276.8408659,Changeup,92,555,525,-17.66192471,17.66192471,30,9,15,8,45,0,30,9:15,8:45,+0H 30M
2025,"Paddack, Chris",663978,R,CH,601,84.5,1808,16.1,0.811943952,0.97303333,247.2190819,259.3233626,Changeup,97,585,555,-12.10428068,12.10428068,30,9,45,9,15,0,30,9:45,9:15,+0H 30M
2025,"Burrows, Mike",681347,R,CH,365,87.3,1510,16.2,0.913234179,0.973653347,234.1397185,245.2306369,Changeup,97,615,585,-11.09091836,11.09091836,30,10,15,9,45,0,30,10:15,9:45,+0H 30M
